Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name
1991,20,CLE,AL,27,104,98,7,25,4,2,1,9,1,1,5,16,0.255,0.298,0.367,0.665,83,36,4,1,0,0,1,Jim Thome
1992,21,CLE,AL,40,131,117,8,24,3,1,2,12,2,0,10,34,0.205,0.275,0.299,0.574,63,35,3,2,0,2,2,Jim Thome
1993,22,CLE,AL,47,192,154,28,41,11,0,7,22,2,1,29,36,0.266,0.385,0.474,0.859,131,73,3,4,0,5,1,Jim Thome
1994,23,CLE,AL,98,369,321,58,86,20,1,20,52,3,3,46,84,0.268,0.359,0.523,0.882,127,168,11,0,1,1,5,Jim Thome
1995,24,CLE,AL,137,557,452,92,142,29,3,25,73,4,3,97,113,0.314,0.438,0.558,0.996,157,252,8,5,0,3,3,Jim Thome
1996,25,CLE,AL,151,636,505,122,157,28,5,38,116,2,2,123,141,0.311,0.45,0.612,1.062,167,309,13,6,0,2,8,Jim Thome
1997,26,CLE,AL,147,627,496,104,142,25,0,40,102,1,1,120,146,0.286,0.423,0.579,1.001,156,287,9,3,0,8,9,Jim Thome
1998,27,CLE,AL,123,537,440,89,129,34,2,30,85,1,0,89,141,0.293,0.413,0.584,0.997,153,257,7,4,0,4,8,Jim Thome
1999,28,CLE,AL,146,629,494,101,137,27,2,33,108,0,0,127,171,0.277,0.426,0.54,0.967,142,267,6,4,0,4,13,Jim Thome
2000,29,CLE,AL,158,684,557,106,150,33,1,37,106,1,0,118,171,0.269,0.398,0.531,0.929,132,296,8,4,0,5,4,Jim Thome
2001,30,CLE,AL,156,644,526,101,153,26,1,49,124,0,1,111,185,0.291,0.416,0.624,1.04,170,328,9,4,0,3,14,Jim Thome
2002,31,CLE,AL,147,613,480,101,146,19,2,52,118,1,2,122,139,0.304,0.445,0.677,1.122,197,325,5,5,0,6,18,Jim Thome
2003,32,PHI,NL,159,698,578,111,154,30,3,47,131,0,3,111,182,0.266,0.385,0.573,0.958,154,331,5,4,0,5,11,Jim Thome
2004,33,PHI,NL,143,618,508,97,139,28,1,42,105,0,2,104,144,0.274,0.396,0.581,0.977,144,295,10,2,0,4,26,Jim Thome
2005,34,PHI,NL,59,242,193,26,40,7,0,7,30,0,0,45,59,0.207,0.36,0.352,0.712,85,68,5,2,0,2,4,Jim Thome
2006,35,CHW,AL,143,610,490,108,141,26,0,42,109,0,0,107,147,0.288,0.416,0.598,1.014,155,293,4,6,0,7,12,Jim Thome
2007,36,CHW,AL,130,536,432,79,119,19,0,35,96,0,1,95,134,0.275,0.41,0.563,0.973,150,243,10,6,0,3,11,Jim Thome
2008,37,CHW,AL,149,602,503,93,123,28,0,34,90,1,0,91,147,0.245,0.362,0.503,0.865,124,253,17,4,0,4,9,Jim Thome
2009,38,TOT,MLB,124,434,362,55,90,15,0,23,77,0,0,69,123,0.249,0.366,0.481,0.847,117,174,8,0,0,3,3,Jim Thome
2010,39,MIN,AL,108,340,276,48,78,16,2,25,59,0,0,60,82,0.283,0.412,0.627,1.039,182,173,8,2,0,2,4,Jim Thome
2011,40,TOT,AL,93,324,277,32,71,16,0,15,50,0,0,46,92,0.256,0.361,0.477,0.838,131,132,6,0,0,1,4,Jim Thome
2012,41,TOT,MLB,58,186,163,17,41,7,0,8,25,0,0,22,61,0.252,0.344,0.442,0.786,112,72,6,1,0,0,3,Jim Thome
1989,20,TOT,AL,58,203,183,27,47,8,0,4,13,7,5,11,47,0.257,0.303,0.366,0.669,89,67,6,2,5,2,2,Sammy Sosa
